record_date,unit_price_calculated
2016-01-01,0.5882352941176471
2016-02-01,0.5882352941176471
2016-03-01,0.5882352941176471
2016-04-01,0.5882352941176471
2016-05-01,0.5882352941176471
2016-06-01,0.5882352941176471
2016-07-01,0.5882352941176471
2016-08-01,0.5882352941176471
2016-09-01,0.5882352941176471
2016-10-01,0.5882352941176471
2016-11-01,0.6666666666666667
2016-12-01,0.6666666666666667
2017-01-01,0.6666666666666667
2017-02-01,0.6666666666666667
2017-03-01,0.6666666666666667
2017-04-01,0.6666666666666667
2017-05-01,0.6666666666666667
2017-06-01,0.6666666666666667
2017-07-01,0.6666666666666667
2017-08-01,0.6666666666666667
